Predicate Name,Num. Satisfactions,Num. Executions,Satisfaction in %,Max. Comp. Time,Min. Comp. Time,Avg. Comp. Time,Weight Max. Comp. Time,Weight Avg. Comp. Time
brakes_stronger,541,9588,0.0564247,0.01708 [ms],8.3e-05 [ms],0.000139445 [ms],0.0106644,0.00635162
drives_faster,3675,9588,0.383292,0.000344 [ms],4.9e-05 [ms],7.93725e-05 [ms],0.000190871,0
drives_leftmost,8,1173,0.00682012,0.654335 [ms],0.001593 [ms],0.00374296 [ms],0.409463,0.387362
drives_rightmost,7,1173,0.0059676,0.869733 [ms],0.00159 [ms],0.00403096 [ms],0.544261,0.417813
drives_with_slightly_higher_speed,1504,9588,0.156863,0.00487 [ms],5.2e-05 [ms],8.16269e-05 [ms],0.00302328,0.000238362
exist_standing_leading_vehicle,102,1173,0.0869565,0.658941 [ms],0.002318 [ms],0.00953716 [ms],0.412346,1
in_congestion,204,1173,0.173913,0.66456 [ms],0.000499 [ms],0.0033194 [ms],0.415862,0.342578
in_front_of,4521,9588,0.471527,1.57016 [ms],0.000358 [ms],0.00105086 [ms],0.982593,0.102718
in_leftmost_lane,493,1173,0.42029,0.000523 [ms],6.9e-05 [ms],0.000128991 [ms],0.000302891,0.00524626
in_queue_of_vehicles,204,1173,0.173913,0.047309 [ms],0.000512 [ms],0.00263016 [ms],0.0295819,0.269702
in_rightmost_lane,248,1173,0.211424,0.001009 [ms],8.4e-05 [ms],0.000141539 [ms],0.000607033,0.00657302
in_same_lane,3522,9588,0.367334,0.058677 [ms],0.000113 [ms],0.000269191 [ms],0.0366961,0.0200701
in_single_lane,1061,1173,0.904518,0.001854 [ms],7.3e-05 [ms],0.000130672 [ms],0.00113584,0.00542402
in_slow_moving_traffic,204,1173,0.173913,0.050165 [ms],0.000532 [ms],0.00280693 [ms],0.0313692,0.288392
in_standstill,51,1173,0.0434783,0.000345 [ms],6.3e-05 [ms],0.000101806 [ms],0.000191497,0.00237192
interstate_broad_enough,1165,1173,0.99318,0.028096 [ms],0.001313 [ms],0.00214905 [ms],0.0175583,0.218833
keeps_braking_speed_limit,1173,1173,1,0.000839 [ms],4.8e-05 [ms],8.4376e-05 [ms],0.000500646,0.000529025
keeps_fov_speed_limit,1173,1173,1,0.000343 [ms],3.9e-05 [ms],8.15908e-05 [ms],0.000190246,0.000234541
keeps_lane_speed_limit,990,1173,0.84399,0.002326 [ms],0.000169 [ms],0.000380695 [ms],0.00143122,0.0318597
keeps_safe_distance_prec,8736,9588,0.911139,1.57851 [ms],0.000386 [ms],0.00114979 [ms],0.987816,0.113178
keeps_sign_min_speed_limit,1173,1173,1,0.003845 [ms],0.000157 [ms],0.000327818 [ms],0.00238182,0.0262688
keeps_type_speed_limit,1173,1173,1,0.001216 [ms],4.8e-05 [ms],9.10486e-05 [ms],0.000736576,0.00123454
lane_based_orientation_similar,9588,9588,1,0.559596 [ms],0.000219 [ms],0.000838934 [ms],0.350175,0.0803106
left_of,0,9588,0,0.144282 [ms],0.000473 [ms],0.00222169 [ms],0.0902684,0.226513
left_of_broad_lane_marking,0,1173,0,0.003331 [ms],0.000144 [ms],0.00053474 [ms],0.00206016,0.0481473
main_carriageway_right_lane,175,1173,0.14919,0.000942 [ms],7.7e-05 [ms],0.000158915 [ms],0.000565104,0.00841023
makes_u_turn,0,1173,0,0.605216 [ms],0.000656 [ms],0.00227299 [ms],0.378724,0.231938
on_access_ramp,44,1173,0.0375107,0.002597 [ms],6.7e-05 [ms],0.000135462 [ms],0.00160082,0.00593051
on_exit_ramp,102,1173,0.0869565,0.000657 [ms],6.4e-05 [ms],0.000132524 [ms],0.000386749,0.00561989
on_main_carriage_way,1052,1173,0.896846,0.001728 [ms],6.8e-05 [ms],0.00013398 [ms],0.00105699,0.00577376
on_shoulder,0,1173,0,0.000429 [ms],6.7e-05 [ms],0.000129477 [ms],0.000244065,0.00529764
on_urban_road,0,1173,0,0.000606 [ms],6.7e-05 [ms],0.000147099 [ms],0.000354833,0.00716091
orientation_towards,643,9588,0.067063,0.066638 [ms],0.000274 [ms],0.000953255 [ms],0.0416782,0.0923981
preserves_traffic_flow,338,1173,0.28815,0.002205 [ms],0.000182 [ms],0.000412766 [ms],0.0013555,0.0352507
reverses,0,1173,0,0.000342 [ms],4.2e-05 [ms],8.28142e-05 [ms],0.00018962,0.000363891
right_of_broad_lane_marking,0,1173,0,0.004647 [ms],0.000139 [ms],0.000505213 [ms],0.00288372,0.0450254
slow_leading_vehicle,567,1173,0.483376,1.59797 [ms],0.001852 [ms],0.0089055 [ms],1,0.933212
unnecessary_braking,49,1173,0.0417732,0.09092 [ms],0.001447 [ms],0.00737423 [ms],0.056874,0.771307
Global Max. Comp. Time:,1.597974
Global Min. Comp. Time:,0.000039
Global Max. Avg Comp. Time:,0.009537
Global Min. Avg Comp. Time:,0.000079
